name,Size,Room,Fee,Endprice,KvMPrice,Saledate,City,District,TypeOfProperty
Norra Kapellgatan 18A,62,2,4 439,540000,0, 12 aug. 2024, Hallstahammars kommun,Hallstahammar,Lägenhet
Långgatan 4A,38,1,4 076,295000,0, 8 aug. 2024, Hallstahammars kommun,Barnängen,Lägenhet
Fågelvägen 15,102+102,6,,2450000,0, 6 aug. 2024, Hallstahammars kommun,Lövboås,Villa
BALDERSVÄGEN 33,177+78,7,,3495000,0, 5 aug. 2024, Hallstahammars kommun,Hallstahammar,Villa
Oxelbacksvägen 8E,116+58,4,,1300000,0, 1 aug. 2024, Hallstahammars kommun,Hallstahammar,Radhus
Bergslagsvägen 242C,140+25,5,,4100000,0, 24 jul. 2024, Hallstahammars kommun,Näs,Villa
Norra Kapellg 10c,55,2,3 506,395000,0, 20 jul. 2024, Hallstahammars kommun,Hallstahammar,Lägenhet
Vallaregatan 5D,100+98,4,,1995000,0, 18 jul. 2024, Hallstahammars kommun,Fredhem,Radhus
Västtunagatan 44B,24.8,1,2 134,200000,0, 15 jul. 2024, Hallstahammars kommun,Hallstahammar,Lägenhet
Usterstavägen 9,129+129,5,,2700000,0, 13 jul. 2024, Hallstahammars kommun,Näs,Villa
Rotevägen 3B,125+59,4,,2100000,0, 13 jul. 2024, Hallstahammars kommun,Hallstahammar,Villa
ELDSBODAVÄGEN 19A,55,2,2 800,650000,0, 11 jul. 2024, Hallstahammars kommun,Hallstahammar,Lägenhet
Bergslagsvägen 236,88+8,4,,2100000,0, 10 jul. 2024, Hallstahammars kommun,Näs,Villa
Oxelbacksvägen 6D,116+58,5,,1750000,0, 8 jul. 2024, Hallstahammars kommun,Hallstahammar,Radhus
Lövboåsvägen 6,62,2,4 407,590000,0, 5 jul. 2024, Hallstahammars kommun,Lövboås,Lägenhet
Vallaregatan 17,112+66,4,,1950000,0, 5 jul. 2024, Hallstahammars kommun,Hallstahammar,Villa
Höjdgatan 12,110,4,6 401,1298000,0, 5 jul. 2024, Hallstahammars kommun,Kolbäck,Villa
Finntorpet 19,32,2,,850000,0, 4 jul. 2024, Hallstahammars kommun,Hallstahammar,Fritidshus
BARNÄNGSGATAN 2,94+46,4,,1700000,0, 29 jun. 2024, Hallstahammars kommun,Hallstahammar,Villa
Norra Idrottsvägen 3,112+53,5,,1500000,0, 29 jun. 2024, Hallstahammars kommun,Trollebo,Villa
Diktäppevägen 3,92+40,5,,2295000,0, 27 jun. 2024, Hallstahammars kommun,Fredhem,Villa
Mölntorpsvägen 12,195+117,8,,3525000,0, 26 jun. 2024, Hallstahammars kommun,Mölntorp,Villa
Solvägen 7,5 ru,?,Slutpris 3 200 000,3200000,0, 26 jun. 2024, Hallstahammars kommun,Kolbäck,Villa
Tibble 13,121+33,5,,2150000,0, 24 jun. 2024, Hallstahammars kommun,Hallstahammar,Villa
Östtunagatan 5,70,3,5 450,505000,0, 21 jun. 2024, Hallstahammars kommun,Hallstahammar,Lägenhet
Östtunagatan 7,54,2,4 264,460000,0, 18 jun. 2024, Hallstahammars kommun,Hallstahammar,Lägenhet
Skomakarevägen 2a,54.5,2,2 422,875000,0, 18 jun. 2024, Hallstahammars kommun,Kolbäck,Lägenhet
Hallonvägen 11,81,3,,1325000,0, 15 jun. 2024, Hallstahammars kommun,Tuna,Radhus
Västtunagatan 42B,39.5,1,2 651,350000,0, 13 jun. 2024, Hallstahammars kommun,Hallstahammar,Lägenhet
VALLMOGATAN 17,118+32,4,,1875000,0, 5 jun. 2024, Hallstahammars kommun,Kolbäck,Radhus
VÄSTMANNAVÄGEN 17,126,5,,3250000,0, 5 jun. 2024, Hallstahammars kommun,Hallstahammar,Villa
Gärdesvägen 32,90+30,5,,2625000,0, 31 maj. 2024, Hallstahammars kommun,Lövboås,Villa
Bärsta 1,140,6,,4800000,0, 31 maj. 2024, Hallstahammars kommun,Kolbäck,Gård/Skog
Johan Forsells väg 34,99+97,4,,2100000,0, 30 maj. 2024, Hallstahammars kommun,Näs,Villa
Usterstavägen 64,121+42,?,Slutpris 1 920 000,1920000,0, 24 maj. 2024, Hallstahammars kommun,Näs,Villa
Norra Lyckovägen 6E,123+6,5,,2250000,0, 24 maj. 2024, Hallstahammars kommun,Fredhem,Radhus
Surbrunnsvägen 5C,39.5,1,2 153,440000,0, 24 maj. 2024, Hallstahammars kommun,Hallstahammar,Lägenhet
Gjuterivägen 3A,122.5,5,6 500,1450000,0, 23 maj. 2024, Hallstahammars kommun,Kolbäck,Lägenhet
Köpingsvägen 41,69,4,,1595000,0, 22 maj. 2024, Hallstahammars kommun,Kolbäck,Villa
Slånbärsvägen 6,94+17,4,,1725000,0, 21 maj. 2024, Hallstahammars kommun,Hallstahammar,Radhus
Finntorpet 13,184.6+32.8,6,,3350000,0, 18 maj. 2024, Hallstahammars kommun,Hallstahammar,Villa
Oskarsborgsvägen 42,127+50,5,,2000000,0, 17 maj. 2024, Hallstahammars kommun,Strömsholm,Villa
Turbovägen 31,127,5,,2700000,0, 23 aug. 2024, Surahammars kommun,Surahammar,Villa
TURBOVÄGEN 19,129+58,4,,2175000,0, 19 aug. 2024, Surahammars kommun,Surahammar,Radhus
Strandvägen 19,82+72,4,,1210000,0, 15 aug. 2024, Surahammars kommun,Virsbo,Villa
Tallgatan 7,125+78,6,,2500000,0, 9 aug. 2024, Surahammars kommun,Surahammar,Villa
METALLGATAN 3,87+84,5,,1500000,0, 7 aug. 2024, Surahammars kommun,Surahammar,Villa
Lisjövägen 48,140,4,,1745000,0, 1 aug. 2024, Surahammars kommun,Västsura Herrgård,Fritidshus
Bergslagsvägen 180,38,2,,865000,0, 31 jul. 2024, Surahammars kommun,Ramnäs,Fritidshus
VÄSTERSJÖVÄGEN 57,137+36,4,,2295000,0, 25 jul. 2024, Surahammars kommun,Surahammar,Villa
Dammvägen 4A,60.3,2,3 586,210000,0, 23 jul. 2024, Surahammars kommun,Ramnäs,Lägenhet
Kapellgatan 1A,56,2,3 770,395000,0, 18 jul. 2024, Surahammars kommun,Surahammar,Lägenhet
Timmervägen 1,59.3,2,3 987,395000,0, 18 jul. 2024, Surahammars kommun,Surahammar,Lägenhet
Parkvägen 6,103+44,4,,1000000,0, 16 jul. 2024, Surahammars kommun,Surahammar,Villa
Norrgårdsgränd 4,81.5,3,3 929,400000,0, 16 jul. 2024, Surahammars kommun,Virsbo,Lägenhet
Getängsvägen 40,45,2,Slutpris 550 000,550000,0, 16 jul. 2024, Surahammars kommun,Hallstahammar,Fritidshus
Skrivarvägen 4,118,4,,975000,0, 12 jul. 2024, Surahammars kommun,Virsbo,Villa
Borevägen 15B,58,2,3 800,290000,0, 12 jul. 2024, Surahammars kommun,Surahammar,Lägenhet
Källbergsvägen 36,26.3,1,2 324,240000,0, 9 jul. 2024, Surahammars kommun,Surahammar,Lägenhet
Stenbovägen 15,146+90,5,,2800000,0, 4 jul. 2024, Surahammars kommun,Surahammar,Villa
Skogsvägen 12,133+143,5,,3200000,0, 30 jun. 2024, Surahammars kommun,Ramnäs,Villa
Stenbovägen 10,176+46,7,,2450000,0, 27 jun. 2024, Surahammars kommun,Surahammar,Villa
STRÅKVÄGEN 1,145,5,,2500000,0, 26 jun. 2024, Surahammars kommun,Surahammar,Villa
Åshammarvägen 58 C,54,2,3 459,155000,0, 25 jun. 2024, Surahammars kommun,Ramnäs,Lägenhet
SKOGSVÄGEN 3,113,4,,1600000,0, 19 jun. 2024, Surahammars kommun,Virsbo,Villa
Gärdesvägen 14,118+57,5,,1395000,0, 18 jun. 2024, Surahammars kommun,Virsbo,Radhus
Snickartorpsvägen 15,106,3,,2495000,0, 18 jun. 2024, Surahammars kommun,Surahammar,Villa
ÅSVÄGEN 21,128+80,6,,870000,0, 18 jun. 2024, Surahammars kommun,Ramnäs,Villa
Harmonivägen 6,119,5,,1580000,0, 15 jun. 2024, Surahammars kommun,Surahammar,Villa
Svenskbyvägen 10,28,2,,630000,0, 4 jun. 2024, Surahammars kommun,Surahammar,Fritidshus
Kapellgatan 5B,56,2,3 630,380000,0, 4 jun. 2024, Surahammars kommun,Centralt,Lägenhet
Svenskbyvägen 4,40,2,,900000,0, 30 maj. 2024, Surahammars kommun,Surahammar,Fritidshus
Magsjöstigen 3,16,1,,895000,0, 29 maj. 2024, Surahammars kommun,Surahammar,Fritidshus
Lötvägen 4,117+10,5,,1480000,0, 28 maj. 2024, Surahammars kommun,Ramnäs,Villa
KAPELLGATAN 5C,56,2,3 630,290000,0, 23 maj. 2024, Surahammars kommun,Surahammar,Lägenhet
Borevägen 15 A,58,2,3 800,430000,0, 20 maj. 2024, Surahammars kommun,Surahammar,Lägenhet
Annehillsvägen 3,109+121,5,,1625000,0, 17 maj. 2024, Surahammars kommun,Ramnäs,Villa
Brytarvägen 3,133,6,,1595000,0, 14 maj. 2024, Surahammars kommun,Ramnäs,Villa
Hopslagarvägen 21,148,6,,2550000,0, 11 maj. 2024, Surahammars kommun,Ramnäs,Villa
Järnbärarvägen 4,106,4,,1945000,0, 30 apr. 2024, Surahammars kommun,Surahammar,Villa
Östergatan 88A,56,2,4 353,450000,0, 29 apr. 2024, Surahammars kommun,Surahammar,Lägenhet
Hjulmakarvägen 10,120+49,4,,1695000,0, 25 apr. 2024, Surahammars kommun,Surahammar,Villa
Åshammarvägen 56B,70.5,3.5,4 426,285000,0, 17 apr. 2024, Surahammars kommun,Ramnäs,Lägenhet
Östergatan 26,86+88,4,,825000,0, 12 apr. 2024, Surahammars kommun,Surahammar,Villa
Kapellgatan 1B,56,2,3 770,245000,0, 12 apr. 2024, Surahammars kommun,Surahammar,Lägenhet
Hjulmakarvägen 40C,57.3,2,3 861,400000,0, 12 apr. 2024, Surahammars kommun,Surahammar,Lägenhet
Borgtäppan 5,79+49,4,,1710000,0, 28 mar. 2024, Surahammars kommun,Surahammar,Villa
Bergsgatan 12,160+60,5,,1750000,0, 27 mar. 2024, Surahammars kommun,Surahammar,Villa
Murargatan 51,104+34,4,,1500000,0, 26 mar. 2024, Surahammars kommun,Surahammar,Villa
Metallgatan 16,89+81,2,,1500000,0, 26 mar. 2024, Surahammars kommun,Surahammar,Villa
Hjulmakarvägen 38C,57.3,2,3 631,435000,0, 25 mar. 2024, Surahammars kommun,Surahammar,Lägenhet
Näsvägen 1,114,4,,1400000,0, 22 mar. 2024, Surahammars kommun,Virsbo,Villa
Odensvi prästgård 21,103+103,4,,1300000,0, 3 sep. 2024, Köpings kommun,Odensvi,Villa
Ringvägen 51E,65,3,4 652,925000,0, 2 sep. 2024, Köpings kommun,Johannisdal,Lägenhet
Överberga Kilarna 5,120+18,4,,2295000,0, 2 sep. 2024, Köpings kommun,Kilarna,Villa
Gamla vägen 11,70,2,,1250000,0, 31 aug. 2024, Köpings kommun,Stäudd,Fritidshus
Violgatan 8B,72,3,4 355,1650000,0, 30 aug. 2024, Köpings kommun,Ullvi Backar,Lägenhet
Hisingsgatan 11,205+188,7,,3800000,0, 30 aug. 2024, Köpings kommun,Stigarna,Villa
Svalvägen 12,142,6,,4850000,0, 29 aug. 2024, Köpings kommun,Elund,Villa
Kulinge 15,30,1,,570000,0, 27 aug. 2024, Köpings kommun,Köping,Fritidshus
Östanåsgatan 15 Lgh 1202 ,70,3,4 412,975000,0, 27 aug. 2024, Köpings kommun,Östanås,Lägenhet
Kulinge 15,30,1,,570000,0, 27 aug. 2024, Köpings kommun,Köping,Fritidshus
Bergslagsvägen 119 A,91,4,6 100,220000,0, 26 aug. 2024, Köpings kommun,Kolsva,Lägenhet
Hagavägen 34A,81.5,3,4 689,820000,0, 25 aug. 2024, Köpings kommun,Johannisdal,Lägenhet
Nyckelbergsvägen 52B,38,1,2 243,285000,0, 24 aug. 2024, Köpings kommun,Nyckelberget,Lägenhet
Torsgatan 21 a,54.5,2,3 714,500000,0, 23 aug. 2024, Köpings kommun,Nyckelberget,Lägenhet
Ringensons väg 2D,123,5,,2150000,0, 23 aug. 2024, Köpings kommun,Köping,Radhus
Sadelgatan 37,127+29,5,,1650000,0, 21 aug. 2024, Köpings kommun,Köping,Villa
Kulinge Nissestigen 3,26+7,2,,465000,0, 17 aug. 2024, Köpings kommun,Köping,Fritidshus
Kihlmansgatan 34D,82.5,3,4 690,775000,0, 16 aug. 2024, Köpings kommun,Skogsbrynet,Lägenhet
Virgatan 14B,98,4,,1850000,0, 16 aug. 2024, Köpings kommun,Centralt,Radhus
Gulsparvsvägen 16,98,4,,2195000,0, 16 aug. 2024, Köpings kommun,Elund,Villa
Västeråsvägen 19,147+73,4,,1800000,0, 16 aug. 2024, Köpings kommun,Centrum,Villa
Bodavägen 22,40,3,,700000,0, 15 aug. 2024, Köpings kommun,Sundänge,Fritidshus
Rödhakestigen 2,40,3,,1125000,0, 15 aug. 2024, Köpings kommun,Sundänge,Fritidshus
Mariebergsgatan 26C,54,2,4 131,575000,0, 15 aug. 2024, Köpings kommun,Nyckelberget,Lägenhet
Stekelgatan 7,80.5,3,6 812,1600000,0, 15 aug. 2024, Köpings kommun,Ullvibackar,Radhus
Kihlmansgatan 28D,62.5,2,3 742,485000,0, 12 aug. 2024, Köpings kommun,Skogsbrynet,Lägenhet
Stora gatan 19,79,3,3 437,1055000,0, 11 aug. 2024, Köpings kommun,Centrum,Lägenhet
Julgranstigen 6,89,4,,1850000,0, 9 aug. 2024, Köpings kommun,Köping,Fritidshus
Sveavägen 6A,71,3,4 375,500000,0, 9 aug. 2024, Köpings kommun,Karlsdal,Lägenhet
Prästgärdsgatan 22A,56,3,3 475,295000,0, 9 aug. 2024, Köpings kommun,Centralt,Lägenhet
Viktoriagatan 6B,50,2,4 062,400000,0, 7 aug. 2024, Köpings kommun,Centrum,Lägenhet
Svedelius väg 20,139+86,6,,1650000,0, 5 aug. 2024, Köpings kommun,Johannisdal,Villa
Sörsylta 4,170+110,7,,6500000,0, 31 jul. 2024, Köpings kommun,Sörsylta,Gård/Skog
Erlandsvägen 33C ,61.5,2,3 527,850000,0, 30 jul. 2024, Köpings kommun,Johannisdal,Lägenhet
Sankt Olovsgatan 58a,68.5,2,4 344,800000,0, 30 jul. 2024, Köpings kommun,Köping,Lägenhet
Hagavägen 8A,70.5,3,5 017,635000,0, 26 jul. 2024, Köpings kommun,Östanås,Lägenhet
Trollsländegatan 48,126,5,,2650000,0, 25 jul. 2024, Köpings kommun,Köping Ullvibackar,Villa
Bellevuevägen 22,86+106,3,,880000,0, 25 jul. 2024, Köpings kommun,Köping,Villa
Tallebovägen 1A,109,4,6 054,2005000,0, 25 jul. 2024, Köpings kommun,Arbmansberg,Lägenhet
Passgatan 4,129,4,,2240000,0, 25 jul. 2024, Köpings kommun,Köping,Villa
Tallebovägen 7D,109,4,6 054,2150000,0, 23 jul. 2024, Köpings kommun,Arbmansberg,Lägenhet
Guttstavägen 18,180+22,6,,3200000,0, 23 jul. 2024, Köpings kommun,Kolsva,Villa
Laggby 4,182,7,,3000000,0, 23 jul. 2024, Köpings kommun,Köping,Villa
Odensvi Barksta 32,190,6,Slutpris 5 400 000,5400000,0, 23 jul. 2024, Köpings kommun,Odensvi,Gård/Skog
Bergslagsvägen 14A,71,3,4 633,680000,0, 19 jul. 2024, Köpings kommun,Karlsdal,Lägenhet
Björnstigen 27,150+44,5,,3350000,0, 19 jul. 2024, Köpings kommun,Stigarna,Villa
Pungbovägen 26B,60.5,2,4 430,465000,0, 19 jul. 2024, Köpings kommun,Östanås,Lägenhet
Hjortstigen 2,113+113,5,,2750000,0, 19 jul. 2024, Köpings kommun,Stigarna,Villa
Rödhakestigen 6,80,4,,1395000,0, 18 jul. 2024, Köpings kommun,Sundänge,Fritidshus
Bergslagsvägen 10B,71,3,3 902,425000,0, 17 jul. 2024, Köpings kommun,Köping,Lägenhet
Sandgatan 27,110,5,6 983,2600000,0, 3 sep. 2024, Enköpings kommun,Centrum,Lägenhet
Kaprifolvägen 17,135+40,5,,6240000,0, 2 sep. 2024, Enköpings kommun,Örsundsbro,Villa
Ängsgatan 7,153+12,7,,4130000,0, 31 aug. 2024, Enköpings kommun,Korsängen,Villa
Skogsvägen 5,120+79,7,,5550000,0, 30 aug. 2024, Enköpings kommun,Fanna,Villa
Korvettvägen 9,91+29,3,,4000000,0, 30 aug. 2024, Enköpings kommun,Bredsand,Radhus
Kungsgatan 11,57,2,3 199,1625000,0, 30 aug. 2024, Enköpings kommun,Centrum,Lägenhet
Kattugglegränd 1,74,2,4 514,730000,0, 29 aug. 2024, Enköpings kommun,Lillsidan,Lägenhet
Astrakangatan 45,98,4,,2050000,0, 29 aug. 2024, Enköpings kommun,Lillsidan,Radhus
Tullgatan 7B,73,3,3 668,2400000,0, 28 aug. 2024, Enköpings kommun,Centrum,Lägenhet
Fårticksgatan 50,126+20,5,,3250000,0, 28 aug. 2024, Enköpings kommun,Husberg,Radhus
Hejaregatan 5,60,2,4 105,1250000,0, 27 aug. 2024, Enköpings kommun,Fanna,Lägenhet
Odlingsvägen 52,130,5,6 424,1625000,0, 27 aug. 2024, Enköpings kommun,Lillkyrka,Radhus
Eriksgatan 36,92.4,4,3 389,2300000,0, 27 aug. 2024, Enköpings kommun,Centrum,Lägenhet
Bergsgatan 10,70,3,5 153,1430000,0, 27 aug. 2024, Enköpings kommun,Enköping,Lägenhet
Mistelvägen 9,191,6,,5450000,0, 26 aug. 2024, Enköpings kommun,Örsundsbro,Villa
Kungshusby 31,140+50,5,,5850000,0, 23 aug. 2024, Enköpings kommun,Enköping,Villa
Kungsgatan 38,80.4,3,5 390,1850000,0, 23 aug. 2024, Enköpings kommun,Centrum,Lägenhet
Rombergsgatan 14,70.5,3,3 796,1300000,0, 22 aug. 2024, Enköpings kommun,Romberga,Lägenhet
Sankt Olofsgatan 4A,58,2,3 199,1535000,0, 22 aug. 2024, Enköpings kommun,Sankt Ilian,Lägenhet
Röksvampsgatan 2,125+175,8,,4900000,0, 22 aug. 2024, Enköpings kommun,Bergvreten,Villa
Idrottsallén 2,42,2,2 855,1400000,0, 21 aug. 2024, Enköpings kommun,Munksundet,Lägenhet
Rådjursvägen 19,174+20,?,Slutpris 2 750 000,2750000,0, 21 aug. 2024, Enköpings kommun,Enköping,Villa
Kryddgårdsgatan 23,45,2,3 608,1150000,0, 21 aug. 2024, Enköpings kommun,Centrum,Lägenhet
Tallbacksvägen 20,38,1,2 596,670000,0, 21 aug. 2024, Enköpings kommun,Fanna,Lägenhet
Bred Edsberga 3,41,2,,1200000,0, 20 aug. 2024, Enköpings kommun,Enköping,Fritidshus
Bred Ängesta 3,100+50,3,,3300000,0, 20 aug. 2024, Enköpings kommun,Enköping,Villa
Fregattvägen 5A,96,4,5 400,2965000,0, 19 aug. 2024, Enköpings kommun,Bredsand,Radhus
Hejaregatan 3,109+109,5,,4040000,0, 19 aug. 2024, Enköpings kommun,Fanna,Villa
Lilla vägen 5,115,4,7 074,2650000,0, 18 aug. 2024, Enköpings kommun,Centrum,Lägenhet
Fannagatan 28,71,2,5 699,1275000,0, 17 aug. 2024, Enköpings kommun,Fanna,Lägenhet
Pärlugglegränd 5,100,4,6 667,1075000,0, 16 aug. 2024, Enköpings kommun,Lillsidan,Lägenhet
Odlingsvägen 58,130,5,6 352,1470000,0, 16 aug. 2024, Enköpings kommun,Lillkyrka,Radhus
Villberga-Hässelby 2,171,7,,3650000,0, 16 aug. 2024, Enköpings kommun,Grillby,Villa
Veckholms-Väppeby 22,46,2,,1450000,0, 16 aug. 2024, Enköpings kommun,Veckholm,Fritidshus
Kyrkogatan 17,63.2,2,3 746,1775000,0, 14 aug. 2024, Enköpings kommun,Centrum,Lägenhet
Verkmästaregatan 42,73.5,3,5 926,1650000,0, 14 aug. 2024, Enköpings kommun,Enköping,Lägenhet
Långtora 57,78+10,5,,2850000,0, 14 aug. 2024, Enköpings kommun,Enköping,Villa
Torstuna Myrsjö 4,125,5,,2025000,0, 13 aug. 2024, Enköpings kommun,Fjärdhundra,Villa
Torstuna Vappeby 4,64,4,,2200000,0, 12 aug. 2024, Enköpings kommun,Torstuna,Villa
Tallbacksvägen 16,51.5,2,3 514,1375000,0, 12 aug. 2024, Enköpings kommun,Fanna,Lägenhet
Plommongatan 8,113,5,,2650000,0, 10 aug. 2024, Enköpings kommun,Lillsidan,Villa
Regalskeppsvägen 26C,72+5.2,3,6 849,1400000,0, 7 aug. 2024, Enköpings kommun,Bredsand,Lägenhet
Rådmansgatan 8a,92,4,4 475,2650000,0, 7 aug. 2024, Enköpings kommun,Centrum,Lägenhet
Fjärilsstigen 37,64.5,2,4 982,1260000,0, 7 aug. 2024, Enköpings kommun,Gånsta,Lägenhet
Hälke 1:34,1 929,?,,320000,0, 4 aug. 2024, Enköpings kommun,Örsundsbro,Tomt
Salagatan 10A,43.5,1.5,2 386,1225000,0, 31 jul. 2024, Enköpings kommun,Centrum,Lägenhet
Gäddvägen 54,51,3,,1650000,0, 30 jul. 2024, Enköpings kommun,Märsön,Fritidshus
Kesuddsvägen 7,1 261,?,,2475000,0, 29 jul. 2024, Enköpings kommun,Bredsand,Tomt
Eknäs,2 505,?,,660000,0, 29 jul. 2024, Enköpings kommun,Vallby,Tomt
